v1,v2,v3,v4,v5,v6,v7,crimerate,education,employment,finished_sq_ft,housing,last_sold_price,lot_size_sq_ft,price_appreciated,tax_assesment,use_code,weather,zest_amt,zest_high,zest_low,zest_value_change,zpid
10347,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,246000,-0.5,1,263284,321206,223791,-14645,15369600
10348,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5600,2,0,307000,-0.5,1,373247,395642,350852,3535,15372335
10349,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,7200,2,0,68340,-0.5,1,177979,197557,156622,464,15370346
10350,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,5000,2,0,234804,-0.5,1,347498,368348,326648,876,15370620
10351,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6600,2,0,227137,-0.5,1,380757,407410,354104,2990,15378344
10352,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4639,2,0,202878,-0.5,1,320126,339334,294516,7005,15370945
10353,0,2,-0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,-1.5,1.5,1960,2,0,58000,-0.5,1,144744,163561,123032,3729,15368432
10354,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,2,1.5,43560,2,0,635530,-0.5,1,657670,710284,598480,1173,35963681
10355,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5183,2,0,148000,-0.5,1,189867,206955,174678,-1511,15370071
10356,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,219004,-0.5,1,339681,363459,322697,3165,15372937
10357,0,2,-0.5,-1.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,12632,2,0,374000,-0.5,1,424513,454229,399042,2215,63077153
10358,0,2,-0.5,-1.5,TRACY,-1.5,1.5,-0.5,1,2,1.5,529254,-2,1,1024772,-0.5,1,0,0,0,0,111084786
10359,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,8651,2,0,292000,-0.5,1,413679,434363,392995,6669,61340103
10360,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5600,2,0,179000,-0.5,1,265091,280996,251836,2054,15373225
10361,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,8046,2,0,314000,-0.5,1,417013,437864,379482,18520,52884819
10362,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,1,1.5,9757,2,0,402000,-0.5,1,449387,480844,417930,-500,79574263
10363,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,-0.5,1.5,3992,2,0,219000,-0.5,1,312265,327878,293529,5608,15366149
10364,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5620,2,0,307000,-0.5,1,398060,421944,374176,7561,58726233
10365,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4356,2,0,264000,-0.5,1,290109,307516,272702,15286,15352727
10366,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6403,2,0,188233,-0.5,1,306531,324923,291204,5084,15376856
10367,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0,1.5,4783,2,0,276000,-0.5,1,349476,370445,328507,5135,54636630
10368,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,-0.5,1.5,3920,2,0,202000,-0.5,1,286413,312190,263500,5011,15371091
10369,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6969,2,0,202000,-0.5,1,256428,279507,230785,3720,15376915
10370,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5662,2,0,288264,-0.5,1,337933,358209,314278,2852,58726203
10371,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5446,2,0,202000,-0.5,1,289584,306959,269313,8503,15371157
10372,0,2,1,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6534,2,0,290000,-0.5,1,344232,385540,302924,8235,64535379
10373,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5600,2,0,173500,-0.5,1,265255,281170,249340,6321,15373994
10374,0,2,0.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,6098,2,0,129000,-0.5,1,126010,153732,94507,-1997,15370434
10375,0,2,1.5,-0.5,Tracy,-1.5,1.5,-0.5,1,0.5,1.5,5005,2,0,269000,-0.5,1,361435,379507,339749,5327,54050487
