id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
1928,0,3613 Kamp Dr,2,2,Pleasanton,4450,7/23/2003,425000,37.683456,-121.868248,4450,CA,490683,2013,4,SingleFamily,1986,469813,535587,399341,3487,94588,25083855
1929,0,3613 Woodbine Way,1.5,3,Pleasanton,1121,11/6/1997,162000,37.70027,-121.865972,1121,CA,210057,2013,0,Condominium,1979,398260,434103,366399,3394,94588,25075012
1930,0,3614 Camelot Ct,2,4,Pleasanton,7170,7/5/2007,705000,37.698161,-121.871713,7170,CA,84420,2013,7,SingleFamily,1970,759433,812593,698678,1253,94588,25074690
1931,0,3614 Chillingham Ct,2,4,Pleasanton,7362,4/28/2005,760000,37.696118,-121.874097,7362,CA,455447,2013,8,SingleFamily,1969,799141,855081,735210,-1943,94588,25074631
1932,0,3614 Diablo Ct,3,3,Pleasanton,23594,0,0,37.685807,-121.863549,23594,CA,702574,2013,9,SingleFamily,1989,1432149,1546721,1317577,9174,94588,25085077
1933,0,3616 Huff Ct,3,5,Pleasanton,4937,9/26/1996,358000,37.691637,-121.866098,4937,CA,473483,2013,9,SingleFamily,1996,984066,1052951,905341,1208,94588,25075819
1934,0,3616 Nicole Ave,4,5,Pleasanton,30492,12/19/2013,1838000,37.683241,-121.863335,30492,CA,946030,2013,9,SingleFamily,1989,1857187,1987190,1708612,-690,94588,25085066
1935,0,3617 Huff Ct,3,5,Pleasanton,4791,11/15/1999,525500,37.691853,-121.866557,4791,CA,655257,2013,8,MultiFamily2To4,1997,835671,894168,760461,-2032,94588,25075809
1936,0,3618 Cameron Ave,3,4,Pleasanton,24051,12/2/1997,739000,37.684758,-121.863327,24051,CA,1015912,2012,9,SingleFamily,1988,1448917,1564830,1347493,-562,94588,25085073
1937,0,3618 Trenery Dr,4.5,5,Pleasanton,35600,0,0,37.688449,-121.863017,35600,CA,1032570,2013,10,SingleFamily,2003,1849786,1997769,1683305,10496,94588,25075910
1938,0,3618 Woodbine Way,1.5,3,Pleasanton,1121,6/3/1994,146000,37.699784,-121.866048,1121,CA,201513,2013,0,Condominium,1979,363671,414585,330941,-127,94588,25075018
1939,0,3619 Woodbine Way,1.5,3,Pleasanton,1121,9/13/2000,290000,37.700257,-121.866052,1121,CA,329000,2013,0,Condominium,1979,397375,433139,361611,2780,94588,25075011
1940,0,3621 Chillingham Ct,2,4,Pleasanton,8579,7/9/2003,589000,37.696283,-121.873631,8579,CA,680029,2013,8,SingleFamily,1968,810821,867578,754064,271,94588,25074626
1941,0,3621 Kamp Dr,2,2,Pleasanton,4563,12/23/1993,211000,37.683679,-121.868118,4563,CA,276045,2013,4,SingleFamily,1986,466298,536243,401016,1426,94588,25083853
1942,0,3621 Manchester St,2.5,4,Pleasanton,8270,6/18/2001,567500,37.697002,-121.86816,8270,CA,694403,2013,9,SingleFamily,1984,790191,837602,726976,2276,94588,25075143
