v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
4747,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4791,-2,421843,-0.5,1,658082,704148,618597,8555,19562523
4748,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,6,2,411874,-0.5,1,608213,638624,577802,3066,19789081
4749,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,8276,2,319567,-0.5,1,619181,668715,575838,3488,19705998
4750,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7405,2,605708,-0.5,1,752683,812898,707522,-1022,19792801
4751,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,369086,-0.5,1,516195,552329,474899,6357,19570679
4752,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,2,228747,1,1,450042,481545,409538,4149,19814456
4753,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,1306,2,410919,0.5,1,571070,616756,525384,6135,19563739
4754,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-2,2,435,-2,233836,0.5,1,426203,456037,383583,7439,19799802
4755,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7475,2,910000,-0.5,1,1225893,1287188,1127822,14576,19796826
4756,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,0.5,2,5183,2,162180,-0.5,1,342486,383584,308237,6301,19712033
4757,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6099,-2,72801,-0.5,1,696998,745788,634268,1401,19484613
4758,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,1,2,8712,2,789000,-0.5,1,976145,1054237,907815,35188,19761541
4759,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,2,264000,-0.5,1,456826,497940,433985,8301,19815166
4760,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,2,188406,-0.5,1,401675,441842,365524,7293,19723406
4761,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,2,753585,-0.5,1,1225011,1347512,1102510,17366,19662257
4762,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,-1.5,2,1742,2,466000,-0.5,1,640725,685576,589467,-9605,19823786
4763,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,7840,-2,74088,-0.5,1,589508,636669,548242,-5356,19789052
4764,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,1.5,2,16215,2,1348602,-0.5,1,1913669,2143309,1722302,12436,19687658
4765,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5227,2,329000,-0.5,1,453603,480819,421851,8316,19728406
4766,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,5520,2,243544,-0.5,1,531298,563176,494107,999,19787110
4767,0,2,2,-0.5,sanjose,-2,0.5,-0.5,1,1.5,2,15250,2,1198000,-0.5,1,1547081,1717260,1423315,5264,19813463
4768,0,2,1.5,-0.5,sanjose,-2,0.5,-0.5,1,0,2,4455,2,306900,-0.5,1,557651,591110,524192,3720,19825253
4769,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,2,2,43560,-2,539639,-0.5,1,963461,1223595,809307,-156346,19783857
4770,0,2,-0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6403,2,732176,-0.5,1,1233528,1307540,1110175,-21882,19711691
4771,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,-0.5,2,3049,1.5,68799,0.5,1,431509,457400,401303,609,19799313
4772,0,2,0.5,-0.5,sanjose,-2,0.5,-0.5,1,0.5,2,6098,-2,33252,-0.5,1,500654,545713,445582,49100,19711502
4773,0,2,-0.5,-1.5,sanjose,-2,0.5,-0.5,1,0.5,2,5662,-2,0,2,1,528977,650642,386153,-114913,2141637775
