id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
4592,0,3876 Almond Ave,1,2,Fremont,6250,2/20/2014,139000,37.534187,-121.958846,6250,CA,275000,2013,4,SingleFamily,1953,364420,437304,284248,-1235,94538,25035139
4593,0,4519 Longview Ter,1,3,Fremont,1500,2/19/2014,440000,37.521943,-121.967398,1500,CA,317613,2013,5,Townhouse,1971,510283,551106,459255,6835,94538,25040467
4594,0,40743 Slayton St,3,4,Fremont,7404,2/19/2014,1348000,37.5538,-121.943162,7404,CA,591426,2013,8,SingleFamily,1975,1353961,1435199,1272723,619,94539,25033696
4595,0,4351 Darwin Dr,2,4,Fremont,7405,2/19/2014,676000,37.570057,-122.042553,7405,CA,529355,2013,8,SingleFamily,1972,601897,650049,559764,6483,94555,25046723
4596,0,42938 Charleston Way,2,4,Fremont,5000,2/19/2014,550000,37.520578,-121.953029,5000,CA,49577,2013,6,SingleFamily,1958,486120,525010,437508,9797,94538,25041350
4597,0,34136 Lugano Ter,2,2,Fremont,0,2/19/2014,726500,37.560249,-122.063105,0,CA,119553,2013,4,SingleFamily,2007,0,0,0,0,94555,82842622
4598,0,34320 Gadwall Cmn,2.5,3,Fremont,3004,2/18/2014,565000,37.575089,-122.044535,3004,CA,333733,2013,6,Townhouse,1981,560360,644414,521135,28542,94555,25053780
4599,0,43303 Castle Park Ct,3,4,Fremont,6621,2/18/2014,660000,37.512623,-121.965498,6621,CA,300821,2013,7,SingleFamily,1961,639218,683963,600865,4218,94538,25039684
4600,0,4538 Bartolo Ter,3,2,Fremont,871,2/18/2014,325000,37.555333,-122.017754,871,CA,224000,2013,4,SingleFamily,1971,223404,268085,178723,23245,94536,25004814
4601,0,34142 Lugano Ter,3.5,3,Fremont,0,2/14/2014,775000,37.560245,-122.063099,0,CA,119553,2013,0,SingleFamily,2007,0,0,0,0,94555,82850108
4602,0,4045 Marshall Ter,3,2,Fremont,1742,2/14/2014,495000,37.567398,-122.026987,1742,CA,245066,2013,5,SingleFamily,1986,448717,520512,376922,10811,94536,25050412
4603,0,169 Merrill Ave,2,3,Fremont,6380,2/14/2014,735000,37.480408,-121.922801,6380,CA,56346,2013,6,SingleFamily,1962,756432,816947,703482,13295,94539,25025362
4604,0,54 Viento Dr,3,4,Fremont,8015,2/14/2014,850000,37.568422,-121.96316,8015,CA,381920,2013,0,SingleFamily,1976,821647,862729,755915,6963,94536,25018212
4605,0,606 El Portal Ave,2,3,Fremont,9200,2/14/2014,678000,37.581374,-122.000479,9200,CA,279785,2013,6,SingleFamily,1955,590060,643165,525153,14278,94536,25015666
4606,0,532 Ficus Ter,2.5,3,Fremont,4500,2/14/2014,870000,37.46183,-121.917592,4500,CA,672000,2012,7,SingleFamily,2008,798602,846518,734714,3255,94539,89030366
4607,0,42914 Everglades Park Dr,2,4,Fremont,6969,2/14/2014,689000,37.513332,-121.971163,6969,CA,255538,2013,7,SingleFamily,1962,641745,673832,596823,3060,94538,25040052
4608,0,40894 Gaucho Way,3,5,Fremont,11613,2/14/2014,1760000,37.551842,-121.9414,11613,CA,1316000,2013,10,SingleFamily,1990,1675954,1810030,1575397,8701,94539,25042419
4609,0,129 Mission Rd,4,4,Fremont,3964,2/14/2014,1700000,37.540779,-121.923027,3964,CA,1415000,2013,10,SingleFamily,2010,1878303,2028567,1746822,-23455,94539,111407047
4610,0,37967 2nd St,1,2,Fremont,7500,2/14/2014,435000,37.57456,-121.975024,7500,CA,162967,2013,5,SingleFamily,1947,509686,555558,458717,2547,94536,25016671
4611,0,34130 Lugano Ter,3.5,3,Fremont,0,2/14/2014,748500,37.560253,-122.063112,0,CA,119553,2013,5,SingleFamily,2007,0,0,0,0,94555,82842207
4612,0,4831 Mildred Dr,2,3,Fremont,6400,2/13/2014,768500,37.540133,-122.00053,6400,CA,552000,2013,6,SingleFamily,1960,686031,727193,644869,20062,94536,25007212
4613,0,4736 Selkirk St,2,4,Fremont,5400,2/13/2014,609500,37.531784,-121.981229,5400,CA,446000,2013,7,SingleFamily,1959,568520,602631,528724,11690,94538,25044784
4614,0,39 Duarte Ave,1,1,Fremont,6416,2/13/2014,367500,37.580436,-121.988026,6416,CA,227000,2013,3,SingleFamily,1919,401466,457671,353290,-4546,94536,25016189
4615,0,217 Mcduff Ave,3,4,Fremont,6534,2/13/2014,1060000,37.478063,-121.920385,6534,CA,524241,2013,7,SingleFamily,1965,883700,963233,804167,25719,94539,25025485
4616,0,4221 Vincente St,2,4,Fremont,7131,2/13/2014,632500,37.567751,-122.033282,7131,CA,142465,2013,9,SingleFamily,1967,650297,689315,604776,-5735,94536,25050514
4617,0,4530 Nicolet Ave,2,3,Fremont,6545,2/11/2014,435000,37.55891,-122.025503,6545,CA,128038,2013,5,SingleFamily,1958,412541,482673,342409,-11591,94536,25005041
4618,0,237 E Warren Cmn,1,2,Fremont,0,2/11/2014,412000,37.487228,-121.925201,0,CA,315000,2013,4,Condominium,1982,371358,401067,345363,5900,94539,25029619
4619,0,9 Gazania Ter,2.5,3,Fremont,1541,2/11/2014,515000,37.5681,-121.964335,1541,CA,335407,2013,5,Condominium,1991,525295,567319,483271,-18025,94536,25018417
