v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
142,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1120454,0.5,0,2231630,2633323,1852253,5343,15082594,0
143,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,1425,2,349295,0.5,0,557891,647154,513260,-4925,15176856,0
144,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3706,2,483075,-0.5,0,958386,1082976,843380,21136,15197447,0
145,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2475,2,411985,0.5,0,712456,790826,655460,-12125,15083677,0
146,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,72558,-0.5,0,1221582,1417035,1050561,84775,15095502,0
147,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3485,2,330831,-0.5,0,528959,603013,491932,-12299,15188805,0
148,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,818,2,73312,-0.5,0,1159031,1402428,950405,-25296,15066592,0
149,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,153508,0.5,0,870411,1027085,748553,-23506,89237802,0
150,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2949,2,1469576,-0.5,0,1930176,2354815,1428330,40516,15131512,0
151,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,389876,0.5,0,388025,426827,349223,7496,15177783,0
152,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2151,2,45732,-0.5,0,547791,608048,476578,6230,15190908,0
153,0,2,1.5,-0.5,San Francisco,-2,-2,-0.5,0.5,0,2,4466,2,158466,-0.5,0,1389373,1486629,1222648,27268,15198021,0
154,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,1,2,13939,2,670002,-0.5,0,1198490,1390248,1006732,31052,15096065,0
155,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2996,2,69152,-0.5,0,815934,889368,734341,25019,15110515,0
156,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,746000,0.5,0,865401,943287,752899,18196,61288367,0
157,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,-2,0,2,0,1814164,2195138,1378765,0,2108820623,0
158,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1297392,0.5,0,1551938,1815767,1226031,59803,54854475,0
159,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2935,2,91510,-0.5,0,1066757,1258773,928079,16282,15097174,0
160,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,0,2,1075000,0.5,0,1126545,1295527,923767,13961,89238424,0
161,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3000,2,301214,1,0,655721,773751,557363,-21013,15101096,0
162,0,2,-0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,1324,2,476033,-0.5,0,958639,1054503,824430,5352,15084474,0
163,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3280,2,643654,-0.5,0,874265,996662,795581,6519,15136202,0
164,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-2,2,1306,2,810000,-0.5,0,888079,1056814,790390,-1594,15141697,0
165,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,309225,-0.5,0,446187,477420,406030,16540,15153644,0
166,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2640,2,168200,2,0,825451,982287,718142,37970,15184734,0
167,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2996,2,56053,-0.5,0,779018,911451,708906,-42141,15123667,0
168,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3789,2,91888,-0.5,0,982829,1100768,845233,9748,15196382,0
169,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2500,2,572220,-0.5,0,772816,842369,680078,9885,15157788,0
170,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2482,2,1792652,2,0,1739762,2052919,1461400,32984,15089629,0
171,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2495,2,32972,-0.5,0,1117669,1341203,927665,27780,15150464,0
172,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3524,2,68457,-0.5,0,1649610,1864059,1369176,111721,15145991,0
173,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2996,2,57178,-0.5,0,792934,919803,729499,-55335,15123532,0
174,0,2,-0.5,-1.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3123,2,41603,-0.5,0,449082,547880,332321,-2635,15192923,0
175,0,2,1,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2805,2,708000,-0.5,0,840927,975475,706379,5296,15196832,0
176,0,2,0.5,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,2382,2,122475,-0.5,0,717794,803929,631659,-1263,15178062,0
177,0,2,2,-0.5,San Francisco,-2,-2,-0.5,0.5,-0.5,2,3567,2,634242,-0.5,0,1086624,1227885,956229,26911,15096676,0
